"tag","name","townHallLevel","role","clanRank","expLevel","league","trophies","versusTrophies","warStars","legendTrophies","attackWins","defenseWins","donations","donationsReceived","Barbarian","Archer","Giant","Goblin","Wall Breaker","Balloon","Wizard","Healer","Dragon","P.E.K.K.A","Baby Dragon","Miner","Electro Dragon","Yeti","Dragon Rider","Root Rider","Thrower","Minion","Hog Rider","Valkyrie","Golem","Witch","Lava Hound","Bowler","Apprentice Warden","Druid","Furnace","Ice Golem","Headhunter","Electro Titan","Wall Wrecker","Battle Blimp","Stone Slammer","Siege Barracks","Log Launcher","Flame Flinger","Battle Drill","Troop Launcher","L.A.S.S.I","Electro Owl","Mighty Yak","Unicorn","Phoenix","Poison Lizard","Diggy","Frosty","Spirit Fox","Angry Jelly","Sneezy","Raged Barbarian","Sneaky Archer","Boxer Giant","Beta Minion","Bomber","Baby Dragon BB","Cannon Cart","Night Witch","Drop Ship","Power P.E.K.K.A","Hog Glider","Electrofire Wizard","Lightning Spell","Healing Spell","Rage Spell","Jump Spell","Freeze Spell","Clone Spell","Invisibility Spell","Recall Spell","Poison Spell","Earthquake Spell","Haste Spell","Skeleton Spell","Bat Spell","Overgrowth Spell","Revive Spell","Ice Block Spell","Barbarian King","Archer Queen","Grand Warden","Royal Champion","Minion Prince","Battle Machine","Battle Copter","Bigger Coffers","Get those Goblins!","Bigger & Better","Nice and Tidy","Gold Grab","Elixir Escapade","Sweet Victory!","Empire Builder","Wall Buster","Humiliator","Union Buster","Conqueror","Unbreakable","Friend in Need","Mortar Mauler","Heroic Heist","X-Bow Exterminator","Firefighter","War Hero","Clan War Wealth","Anti-Artillery","Sharing is caring","Master Engineering","Next Generation Model","Un-Build It","Champion Builder","High Gear","Hidden Treasures","Games Champion","Dragon Slayer","War League Legend","Well Seasoned","Shattered and Scattered","Not So Easy This Time","Bust This!","Superb Work","Siege Sharer","Aggressive Capitalism","Most Valuable Clanmate"
"#29CLU8YUG","John Ster",17,"leader",1,218,"Legend League",5222,4713,1339,1835,36,1,789,1276,10,10,9,7,8,12,10,10,12,7,6,4,8,2,0,0,0,9,13,7,11,4,6,4,0,0,0,8,2,0,2,4,5,1,4,5,2,0,9,8,9,10,7,4,10,8,9,9,0,20,20,20,20,20,20,20,20,20,20,20,20,9,9,6,3,7,4,4,2,4,5,5,4,4,4,4,1,61,63,35,30,45,35,30,17,270,17,10882,1926891256,1984307358,5672,13,45402,3631,15636,4526,1036,38270,13494,17376587,9543,5876,1339,1105784438,1956,939,10,1,6614,4952,3,1,72945,2,332,109850,3656,2398,7713,17,357,466415,1017767
"#QJLUQLRGU","Tonmoy_",13,"member",2,149,"Titan League III",4204,2872,568,0,65,0,343,143,9,9,8,8,8,9,9,6,8,9,7,6,4,3,1,0,0,9,10,8,9,5,5,5,2,0,0,5,3,0,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,15,16,14,14,14,15,16,14,0,0,9,8,6,3,7,6,4,1,5,5,4,5,5,2,0,0,62,62,36,17,42,20,16,14,174,13,1078,840557782,899630708,4680,9,22241,1550,7646,1892,58,1011,6299,8040732,4382,2587,568,525295796,958,43,8,1,1515,2946,1,1,26100,0,161,74320,273,697,30,47,4,762925,992965
"#G2C0RUR9","swagrubberducky",13,"admin",3,153,"Titan League III",4163,2737,461,0,19,1,190,72,9,9,9,8,8,8,9,5,7,8,6,6,3,2,0,0,0,8,9,7,9,5,5,4,0,0,0,5,2,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,14,12,14,14,14,14,14,0,0,0,9,7,6,3,7,5,3,0,6,5,5,6,4,1,0,0,55,60,40,0,40,20,0,13,205,13,4269,989364165,1026564566,4432,8,54245,1444,6888,1693,1526,11998,5954,9663392,5053,3269,461,279482842,1225,260,7,1,1190,2831,2,1,34345,0,118,43740,959,865,331,54,25,173531,294633
"#QJ9QPYQ2J","GeorGe",14,"coLeader",4,122,"Unranked",3805,1797,246,0,0,0,110,0,5,5,4,4,4,10,6,6,9,2,1,1,4,0,0,0,0,1,6,1,1,1,1,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,5,9,10,1,8,1,9,1,0,0,0,0,9,7,6,1,7,1,4,0,1,5,1,1,1,0,0,0,23,25,10,9,20,10,0,14,232,14,1547,350707884,357217835,4146,8,11549,555,2744,685,134,1590,2494,3481439,1842,1115,246,176341756,359,40,6,1,147,1873,1,1,9050,1,82,34940,249,272,134,0,6,177160,321332
"#GGYRQC9GG","Neflis",13,"coLeader",5,119,"Champion League III",3380,2389,332,0,29,0,1347,119,4,6,5,2,1,9,4,4,8,4,1,1,3,0,0,0,0,1,9,7,3,1,3,3,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,12,6,8,8,1,1,1,1,0,0,9,7,5,1,5,5,2,1,4,5,1,2,1,0,0,0,43,43,25,10,18,18,1,13,215,13,1346,607095765,624679393,3555,9,14115,739,3881,1041,44,8861,3282,5321084,2125,1188,332,242528319,454,486,9,1,470,2449,1,1,32750,0,141,46160,322,312,65,20,14,344260,489882
"#G8LVJ0RV2","ra",14,"member",6,150,"Champion League III",3336,3067,268,0,17,0,0,58,9,9,10,8,9,9,10,6,8,9,7,7,4,3,2,0,0,5,8,8,10,5,5,4,1,0,0,2,2,0,4,4,3,4,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,16,16,15,14,15,14,14,15,14,16,0,0,9,8,6,4,7,6,3,1,5,5,5,3,4,1,0,0,60,69,43,23,42,25,25,14,72,14,313,737017016,744059668,3338,9,18135,822,4434,1141,95,40,3773,6370799,2385,1316,268,318918449,460,2,8,1,1173,3086,3,1,3900,0,54,68310,285,266,59,8,0,697710,904296
"#2L8V0UCY2","Maria!",13,"coLeader",7,135,"Champion League III",3301,2762,442,0,9,1,163,82,7,7,6,5,5,9,6,4,8,4,3,1,3,0,0,0,0,2,9,3,1,2,1,1,0,0,0,1,1,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,16,8,14,5,16,14,12,1,0,0,9,7,6,3,7,1,2,0,3,5,2,3,2,0,0,0,48,49,24,3,21,21,19,13,36,13,4192,259064031,280535703,3337,8,7483,921,3231,1157,482,1465,3027,2488891,1339,678,442,190253217,233,95,8,1,1392,2801,3,1,37950,0,95,51800,77,167,9,2,4,284930,448111
"#8CYV8PLR0","Max King",14,"member",8,167,"Unranked",3289,3142,475,0,0,0,0,78,8,10,10,6,8,10,10,7,9,9,2,5,5,3,0,0,0,8,10,8,11,5,6,5,0,0,0,5,3,0,3,3,4,2,0,0,0,0,4,3,3,1,0,0,0,0,0,0,0,14,15,11,9,13,10,15,20,18,14,1,1,9,7,6,3,5,3,1,0,6,5,5,6,5,2,0,0,55,71,32,11,30,30,20,15,225,14,5804,803640760,870165550,3806,10,20593,1284,6813,2024,241,6795,4904,6349605,2652,1494,475,376360688,505,149,10,1,1792,3357,2,1,37925,1,112,66080,363,376,182,41,11,436415,562869
"#L98P2VVQR","JD",13,"member",9,167,"Unranked",3074,3010,722,0,0,0,0,0,9,9,10,8,9,9,9,6,7,9,7,7,4,1,1,0,0,8,10,8,6,5,6,5,2,0,0,3,3,0,4,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,14,9,14,9,13,13,11,18,0,0,9,7,6,3,7,1,1,1,3,2,2,7,5,2,0,0,55,62,42,21,40,19,30,14,232,13,3242,683229460,719969451,3477,9,12086,1237,6306,1726,185,31788,5250,5966282,2896,1449,722,498129094,516,950,10,1,656,3089,3,1,11900,0,189,88410,267,283,55,156,80,858025,1188684
"#GRU8J88LY","Carl..",12,"member",10,101,"Master League I",2973,2468,25,0,10,1,0,72,4,3,6,4,7,7,6,5,6,7,1,2,3,0,0,0,0,5,7,4,6,4,1,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,13,8,6,1,1,14,0,0,0,0,8,7,5,2,6,1,1,0,3,5,2,2,1,0,0,0,20,15,11,0,16,9,0,13,15,12,995,402248544,428147258,3015,8,13385,858,3539,1013,12,642,3251,3874320,1754,816,25,142963843,316,19,7,1,729,2533,2,1,0,0,1,30585,11,120,0,3,1,184380,252315
